Constituency_Year,SDP,KOK,KESK,PS,VAS,VIHR,RKP,KD,Others,Other party,SKS (2007),SKP,LIB (2007),LIIKE,KaL,Pirate Pty,SEP (1999)
Artjärvi -11_1991,80,178,523,50,20,35,16,28,1,2,0,0,5,0,0,0,10
Artjärvi -11_1995,125,164,501,17,23,17,23,41,5,5,13,0,1,0,21,0,1
Artjärvi -11_1999,60,161,442,39,30,24,4,40,1,0,4,1,2,0,4,0,3
Artjärvi -11_2003,96,107,564,0,23,19,0,42,0,0,0,4,1,0,6,0,0
Artjärvi -11_2007,85,138,509,36,27,27,0,21,0,0,0,3,0,0,1,0,0
Asikkala_1983,1017,1569,1141,541,432,0,2,209,65,0,0,0,0,0,0,0,0
Asikkala_1987,818,1597,1089,226,302,328,5,197,0,109,0,0,19,0,0,0,47
Asikkala_1991,761,1458,1377,156,286,407,0,210,0,9,0,0,10,0,0,0,18
Asikkala_1995,1069,1262,1223,28,288,398,0,256,0,8,88,0,5,0,88,0,9
Asikkala_1999,853,1128,1357,6,263,217,0,428,136,0,30,15,4,0,4,0,0
Asikkala_2003,952,788,1751,17,231,302,0,613,8,0,0,22,16,0,16,0,0
Asikkala_2007,725,1146,1564,92,259,216,0,389,1,0,3,22,5,0,2,0,0
Asikkala_2011,751,1011,1026,1321,197,183,0,398,1,0,0,12,0,0,0,16,0
Asikkala_2015,571,979,1542,1050,158,196,0,409,0,0,0,9,0,0,7,18,0
Asikkala_2019,640,648,1192,1103,201,629,9,325,122,0,0,0,0,0,0,10,0
Asikkala_2023,674,984,1088,1189,182,164,4,333,0,0,0,1,0,81,0,0,0
Askainen -09_1983,100,77,219,92,60,0,3,9,11,0,0,0,0,0,0,0,0
Askainen -09_1987,82,90,231,62,46,11,1,3,0,16,0,0,1,0,0,0,13
Askainen -09_1991,99,73,260,63,43,9,1,4,0,0,0,0,0,0,0,0,1
Askainen -09_1995,114,68,201,17,60,21,4,4,7,0,23,0,1,0,2,0,0
Askainen -09_1999,83,106,208,4,59,9,4,11,18,0,0,0,0,0,1,0,0
Askainen -09_2003,115,112,190,10,61,18,3,10,0,0,5,1,0,0,0,0,0
Askainen -09_2007,98,109,171,30,49,33,4,11,0,0,7,0,0,0,1,0,0
Askola_1983,591,639,613,307,177,0,36,41,45,2,0,0,0,0,0,0,0
Askola_1987,474,511,690,159,227,82,34,39,43,23,0,0,18,0,0,0,17
Askola_1991,358,509,812,81,112,91,48,23,13,6,0,0,11,0,0,0,17
Askola_1995,648,402,715,18,133,87,62,20,25,25,51,0,1,0,7,0,8
Askola_1999,462,458,719,13,136,117,40,29,0,0,15,5,3,0,6,0,11
Askola_2003,505,374,860,11,158,120,47,37,89,0,1,7,7,0,19,0,0
Askola_2007,419,429,800,161,162,158,43,84,0,0,0,6,0,0,7,0,0
Askola_2011,371,403,548,805,126,135,39,44,2,0,0,7,0,0,4,10,0
Askola_2015,347,325,832,680,93,136,53,45,0,0,0,6,0,0,22,20,0
Askola_2019,484,300,607,620,110,169,63,62,108,0,0,7,0,0,6,15,0
Askola_2023,419,481,386,790,81,70,74,64,1,0,0,1,0,118,2,2,0
Aura_1983,289,371,387,252,274,0,4,33,20,0,0,0,0,0,0,0,0
Aura_1987,232,369,406,184,100,26,12,21,1,195,0,0,2,0,0,0,32
Aura_1991,243,316,624,110,208,51,5,16,1,8,0,0,1,0,0,0,6
Aura_1995,377,376,452,46,288,56,0,26,18,0,70,0,5,0,19,0,0
Aura_1999,312,428,424,16,270,63,7,24,42,0,9,17,0,0,1,0,0
Aura_2003,368,468,470,8,206,92,7,73,0,0,19,15,2,0,5,0,0
Aura_2007,378,509,500,78,219,83,5,82,0,0,25,9,1,0,1,0,0
Aura_2011,314,428,406,550,187,73,12,47,0,0,0,5,0,0,0,6,0
Aura_2015,257,334,559,594,175,89,17,51,3,0,0,14,0,0,10,6,0
Aura_2019,385,352,371,586,229,77,13,52,53,0,0,2,0,0,4,4,0
Aura_2023,321,501,316,657,181,71,14,86,0,0,0,1,0,60,0,0,0
Dragsfjärd -09_1983,1001,81,27,166,650,0,929,26,35,1,0,0,0,0,0,0,0
Dragsfjärd -09_1987,726,62,28,49,496,36,990,15,1,186,0,0,0,0,0,0,23
Dragsfjärd -09_1991,592,34,56,27,447,76,1055,7,0,1,0,0,2,0,0,0,2
Dragsfjärd -09_1995,668,55,44,3,327,69,918,9,28,3,22,0,2,0,8,0,0
Dragsfjärd -09_1999,480,43,47,1,290,71,957,12,47,0,3,10,1,0,0,0,0
Dragsfjärd -09_2003,517,48,47,1,233,55,951,21,0,0,5,20,6,0,33,0,0
Dragsfjärd -09_2007,506,58,35,14,230,85,877,28,0,0,0,7,0,0,25,0,0
Eckerö_2019,0,0,0,0,0,0,0,0,505,0,0,0,0,0,0,0,0
Eckerö_2023,0,0,0,0,0,0,0,0,504,0,0,0,0,0,0,0,0
Elimäki -09_1983,1037,1131,1774,768,180,0,5,145,24,0,0,0,0,0,0,0,0
Elimäki -09_1987,1100,1097,1826,332,88,262,7,137,11,80,0,0,11,0,0,0,49
Elimäki -09_1991,835,778,2057,153,115,585,0,146,0,0,0,0,12,0,0,0,23
Elimäki -09_1995,1089,720,1793,10,172,614,0,114,29,0,83,0,6,0,58,0,0
Elimäki -09_1999,808,716,2698,5,119,145,0,107,8,0,0,18,0,0,2,0,0
Elimäki -09_2003,913,769,2066,10,171,178,0,172,0,0,0,24,8,0,18,0,0
Elimäki -09_2007,694,768,2162,213,138,129,0,189,2,0,0,14,0,0,8,0,0
Eno -09_1983,2078,783,949,473,729,0,0,195,0,29,0,0,0,0,0,0,0
Eno -09_1987,1821,757,891,353,306,55,0,92,79,214,0,0,18,0,0,0,15
Eno -09_1991,1591,478,1123,170,377,89,0,178,0,63,0,0,7,0,0,0,17
Eno -09_1995,2111,486,846,63,267,75,0,260,10,13,17,0,8,0,18,0,9
Eno -09_1999,1686,319,952,42,288,87,0,201,0,0,69,55,4,0,14,0,8
Eno -09_2003,1673,248,1166,28,202,103,0,94,0,0,0,39,1,0,3,0,0
Eno -09_2007,1233,412,955,91,382,242,0,62,0,0,0,10,0,0,2,0,0
Enonkoski_1983,377,117,547,130,51,0,0,65,0,0,0,0,0,0,0,0,0
Enonkoski_1987,382,119,599,114,36,27,0,61,0,29,0,0,9,0,0,0,4
Enonkoski_1991,347,93,583,70,27,39,0,62,0,2,0,0,1,0,0,0,2
Enonkoski_1995,458,70,513,22,13,52,0,70,0,0,10,0,1,0,7,0,3
Enonkoski_1999,289,76,542,1,16,31,0,90,3,0,0,0,0,0,0,0,4
Enonkoski_2003,294,61,514,5,16,22,0,67,0,0,0,0,0,0,0,0,0
Enonkoski_2007,272,75,468,20,3,63,0,54,0,0,0,3,0,0,3,0,0
Enonkoski_2011,249,55,403,136,6,46,0,48,0,0,0,0,0,0,0,2,0
Enonkoski_2015,193,37,398,130,15,29,0,45,0,0,0,1,0,0,5,2,0
Enonkoski_2019,217,84,285,122,14,40,0,53,3,0,0,2,0,0,0,1,0
Enonkoski_2023,190,72,249,110,19,12,2,38,0,0,0,0,0,73,0,0,0
Enontekiö_1983,167,199,625,80,74,0,0,10,114,3,0,0,0,0,0,0,0
Enontekiö_1987,188,200,563,71,57,40,0,17,0,131,0,0,8,0,0,0,3
Enontekiö_1991,91,137,783,29,92,83,0,16,1,4,0,0,0,0,0,0,6
Enontekiö_1995,221,145,458,7,206,22,0,45,0,0,54,0,0,0,9,0,0
Enontekiö_1999,118,86,561,2,301,27,24,22,3,0,0,0,0,0,0,0,0
Enontekiö_2003,196,95,572,5,200,49,4,10,0,0,0,1,1,0,5,0,0
Enontekiö_2007,171,207,442,24,103,20,0,36,0,0,0,2,0,0,1,0,0
Enontekiö_2011,106,224,253,229,60,60,69,30,0,0,0,1,0,0,0,0,0
Enontekiö_2015,86,168,523,119,47,28,75,28,0,0,0,1,0,0,1,5,0
Enontekiö_2019,134,154,402,160,50,95,3,36,6,0,0,0,0,0,0,1,0
Enontekiö_2023,223,176,235,264,34,34,19,17,19,0,0,1,0,9,0,0,0
Espoo_1983,19647,30880,4158,4992,7983,0,9505,1866,4268,191,0,0,0,0,0,0,0
Espoo_1987,17778,34151,3350,3254,4198,6818,10122,1871,1422,2675,0,0,2042,0,0,0,1287
Espoo_1991,14804,30226,7550,2589,5376,11607,12559,1780,679,1064,0,0,869,0,0,0,347
Espoo_1995,23220,28674,4391,257,7381,10013,12169,1583,1275,717,8550,0,299,0,1251,0,194
Espoo_1999,18735,37764,7518,178,7315,13433,10901,2641,61,0,4438,365,289,0,329,0,366
Espoo_2003,23501,41053,13194,1836,8056,15357,10317,3936,121,0,68,387,933,0,324,0,0
Espoo_2007,19437,51575,10745,7220,5879,17182,9695,4751,112,0,0,434,128,0,157,0,0
