'Ehdokasnumero';'Etunimet';'Sukunimi';'Arvo/ammatti/tehtava';'Vaalipiiri/Kunta';'Puolue';'Ehdokkaan mahdollisen tukiryhman nimi';'Vaalikampanjan kulut yhteensa';'Sanoma- ilmaisjakelu- ja aikakauslehdet';'Radio';'Televisio';'Tietoverkot';'Muut viestintavalineet';'Ulkomainonta';'Vaalilehtien esitteiden ja muun painetun materiaalin hankinta';'Mainonnan suunnittelu';'Vaalitilaisuudet';'Vastikeellisen tuen hankintakulut';'Muut kulut';'Vaalikampanjan rahoitus yhteensa';'2.1 Rahoitus sisaltaa omia varoja yhteensa';'2.2 Rahoitus sisaltaa ehdokkaan ja tukiryhman ottamia lainoja yhteensa';'2.3 Rahoitus sisaltaa yksityishenkiloilta saatua tukea yhteensa';'2.3 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta yksityishenkilolta ("x")';'2.3 Rahoitus sisaltaa yksityishenkiloilta saatua tukea yhteensa lisatietokentan teksti';'2.4 Rahoitus sisaltaa yrityksilta saatua tukea yhteensa';'2.4 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta yrityksilta ("x")';'2.4 Rahoitus sisaltaa yrityksilta saatua tukea yhteensa lisatietokentan teksti';'2.5 Rahoitus sisaltaa puolueelta saatua tukea yhteensa';'2.5 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta puolueelta ("x")';'2.5 Rahoitus sisaltaa puolueelta saatua tukea yhteensa lisatietokentan teksti';'2.6 Rahoitus sisaltaa puolueyhdistyksilta saatua tukea yhteensa';'2.6 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta puolueyhdistyksilta ("x")';'2.6 Rahoitus sisaltaa puolueyhdistyksilta saatua tukea yhteensa lisatietokentan teksti';'2.7 Rahoitus sisaltaa muilta tahoilta saatua tukea yhteensa';'2.7 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta muilta tahoilta ("x")';'2.7 Rahoitus sisaltaa muilta tahoilta saatua tukea yhteensa lisatietokentan teksti';'2.8 Rahoitus sisaltaa valitettya tukea yhteensa';'E. vapaaehtoinen erittely'
'0137';'Esko Anton                    ';'Kurvinen                     ';'insinööri, yrittäjä                                         ';'Oulun vaalipiiri                ';'KOK ';'Puolestapuhujat';'31453,64';'10666,89';'1168,50';'5549,17';'1279,20';'0,00';'1389,90';'4918,28';'3075,00';'557,70';'727,00';'2122,00';'31453,64';'14408,64';'0,00';'780,00';'X';'';'15930,00';'X';'Yrityksiltä saatu tuki muodostuu kokonaisuudessaan Pohjoista työtä ja energiaa -seminaarin osallistumismaksuista, Seminaarin järjesti ehdokkaan tukiryhmä,';'0,00';'X';'';'0,00';'X';'';'335,00';'X';'Oulun Insinöörit ry:n kampanjatuki insinööriehdokkaille,';'0,00';''
'0138';'Suvi Helmi Tellervo           ';'Lindén                       ';'FM                      ';'Oulun vaalipiiri                ';'KOK ';' Oulun Tulevaisuuden Tekijät';'37505,30';'16660,68';'299,80';'0,00';'2336,05';'0,00';'';'16225,55';'0,00';'0,00';'755,10';'1228,12';'37505,30';'2145,00';'';'3690,30';'X';'sisältää pääsymaksutuloja ja arpajaistuottoja 2310,30 euroa';'30020';'X';'summa koostuu Terva-Toppila Kokoomus ry:n järjestämän maksullisen seminaarin bruttotuloista, Seminaarilipun a´hinta 380 euroa, ';'';'X';'';'1650';'X';'';'';'X';'';'';''
'0106';'Raimo Olavi                   ';'Piirainen                    ';'kansanedustaja, veturinkuljettaja                           ';'Oulun vaalipiiri                ';'SDP ';'Kehittyvä Kainuu ry.';'43051';'21286';'1107';'3156';'60';'60';'2160';'3689';'6772';'2167';'';'2594';'43051';'26464';'';'975';'X';'';'4574';'X';'';'';' ';'';'1690';'X';'';'9348';' ';'';'';''
'0061';'Katja Maria                   ';'Hänninen                     ';'ylioppilasmerkonomi, myyjä                                  ';'Oulun vaalipiiri                ';'VAS ';'';'41316,37';'11916,58';'741,69';'10046,88';'2805,58';'';'800';'11539,35';'2886,81';'557,98';'';'21,50';'41316,37';'16410,41';'';'6989,16';' ';'';'';' ';'';'';' ';'';'13140';' ';'';'4776,80';'X';'';'';'Tuki eri ammattiliitoilta yhteensä 2892,80€ ja tuki Vasemmistonaisilta (Valtikalta) 1000€.'
'0039';'Olli Juhani                   ';'Immonen                      ';'turvallisuusvalvoja                                         ';'Oulun vaalipiiri                ';'PS  ';'Olli Immosen tukiyhdistys (rekisteröimätön)';'8704,74';'2452,75';'740,30';'';'2308,00';'';'';'1669,69';'';'214,00';'';'1320,00';'8704,74';'5708,74';'';'2896,00';'X';'- Muut kulut, 1320 euroa, sisältävät: bensakulut vaalitapahtumiin matkustettaessa, mainoskarkit sekä puolueen yhteismainontaan lahjoitettu 1000 euroa,                        - Rahana saatuja lahjoituksia yksityishenkilöiltä yhteensä: 2090 euroa            - Muuna kuin rahana saatua tukea yksityishenkilöiltä yhteensä: 806 euroa            - Yritykseltä saatua tukea: 100 euroa';'100,00';'X';'';'';'X';'';'';'X';'';'';'X';'';'';''
'0025';'Eeva Inkeri                   ';'Kerola                       ';'kansanedustaja                            ';'Oulun vaalipiiri                ';'KESK';'Maakunnan parhaaksi ry';'42900';'18672';'2603';'';'';'';'1753';'12629';'';'1043';'1200';'5000';'42900';'11910';'';'9050';'X';'';'16550';'X';'';'';'X';'';'5390';' ';'';'';'X';'';'';'Kohdan C Muut kulut: Piirille yhteismainontaa varten.'
'0034';'Antti Toivo Armas             ';'Rantakangas                  ';'kansanedustaja, agrologi                                         ';'Oulun vaalipiiri                ';'KESK';'';'67741';'24910';'1000';'18212';'';'';'5122';'5879';'3023';'';'7663';'1929';'67741';'25800';'';'14100';'X';'';'20605';'X';'';'';'X';'';'5986';' ';'';'1250';'X';'';'';'Ehdokas on lisäksi rahoittanut 5000 eurolla Keskustan Pohjois-Pohjanmaan piirin ehdokkaiden yhteismainontakuluja.'
'0045';'Juha Kalervo                  ';'Liukkonen                    ';'johtaja                                                     ';'Oulun vaalipiiri                ';'PS  ';'';'7116,56';'2862,21';'1230,00';'0,00';'395,00';'0,00';'538,25';'2061,10';'0,00';'0,00';'0,00';'30,00';'7916,56';'7116,56';'0,00';'300,00';'X';'';'500,00';'X';'';'0,00';'X';'';'0,00';'X';'';'0,00';'X';'';'0,00';''
'0055';'Ville Petteri                 ';'Vähämäki                     ';'diplomi-insinööri                                           ';'Oulun vaalipiiri                ';'PS  ';'';'23740,85';'12400,47';'594,09';'523,29';'1929,95';'775';'419,68';'2067';'';'694,98';'';'4336,39';'23740,85';'1000';'20108,85';'250';'X';'';'600';'X';'';'';'X';'';'1782';'X';'';'';'X';'';'';'Perussuomalaiset Nuoret ry:n yhteinen nettimainos 246 euroa, karkkituki 161 euroa. Oulun Perussuomalaiset ry:n tuki yhteismainontaan ja markkinointiin 375 euroa. Nämä yhteensä 782 euroa. Oulun piirin Perussuomalaisten yhteismainonta arvo 1000 euroa.'
'0027';'Timo Vesa                     ';'Korhonen                     ';'kansanedustaja                                              ';'Oulun vaalipiiri                ';'KESK';'Eteenpäin Pohjois-Suomi EPSu ry';'81241';'40354';'4305';'';'';'';'';'13024';'';'15428';'';'8130';'81241';'';'49800';'3965';'X';'';'18531';' ';'';'';' ';'';'8945';' ';'';'';' ';'';'';''
'0035';'Juha Petri                    ';'Sipilä                       ';'diplomi-insinööri, yrittäjä                                 ';'Oulun vaalipiiri                ';'KESK';'';'67965,78';'25652,85';'3667,18';'4227,66';'1067,64';'';'7086,75';'10629,70';'8154,90';'5290,80';'';'2188,30';'67965,78';'12758,65';'';'15538,43';'X';'';'36812,25';'X';'';'';'X';'';'2856,45';' ';'';'';'X';'';'';'Rahoituksen kampanjatuotteen myynti on esitetty nettoperiaatteella. Ehdokas on lisäksi rahoittanut tukiyhdistyksen kautta 5.000 €:lla Keskustan Pohjois-Pohjanmaan piirin ehdokkaiden yhteismainonnan kuluja. '
'0036';'Tapani Olavi                  ';'Tölli                        ';'kansanedustaja                 ';'Oulun vaalipiiri                ';'KESK';'Pohjolan Itunen r.y.';'46147,79';'12241,66';'';'';'1325,00';'';'3078,36';'12408,74';'6981,48';'1242,45';'3349,10';'5521,00';'49562,79';'550,00';'';'28413,79';'X';'Summa koostuu mm, tukiyhdistyksen järjestämien arpajaisten tuotosta 13285 euroa, yksityisiltä saaduista arpajaisten tavaralahjoituksista 665 euroa, yksityisten ihmisten rahalahjoituksista 7969 euroa sekä tukiyhdistyksen muusta varainhankinnasta, joka perustuu tilaisuuksien kahvi- ja pienarpajaistuloihin, ja josta 3161 euroa on tukiyhdistyksen ennen 17,10,2010 keräämää,';'15599,00';' ';'Yritysten antamaan tukeen sisältyy myös yritysten antamat tavaralahjoitukset arpajaisiin arvoltaan yhteensä 2450 euroa';'';' ';'';'5000,00';' ';'';'';' ';'';'';'Kohtaan muut kulut sisältyy 5000 euroa Keskustan Pohjois-Pohjanmaan piirille yhteismarkkinointia varten'
'0037';'Mirja Tellervo                ';'Vehkaperä                    ';'kansanedustaja, luokanopettaja                              ';'Oulun vaalipiiri                ';'KESK';'Myötätuulessa Eteenpäin r.y.';'31936';'13451,13';'';'';'';'';'1264,54';'7254,06';'1746,91';'1528,10';'691,26';'6000';'31936';'22000';'';'5116';'X';'';'2820';'X';'';'';' ';'';'2000';'X';'';'';' ';'';'';'C. Muut kulut: Suomen Keskusta 1000 €, Keskustan Pohjois-Pohjanman piiri 5000 €.'
'0046';'Pirkko Anneli                 ';'Mattila                      ';'filosofian maisteri, sairaanhoitaja                         ';'Oulun vaalipiiri                ';'PS  ';'';'10436,07';'5763,01';'3445,81';'0';'120';'0';'0';'1107,25';'0';'0';'0';'0';'10436,07';'8683,97';'0';'432,10';'X';'';'0';'X';'';'0';'X';'';'1320';'X';'';'0';'X';'';'0';''
'0064';'Risto Olavi                   ';'Kalliorinne                  ';'kansanedustaja, puolueen varapuheenjohtaja                ';'Oulun vaalipiiri                ';'VAS ';'';'35074,52';'28988,65';'996,92';'0';'1101,24';'0';'0';'3243,51';'0';'494,20';'0';'250';'37644,63';'5000';'6000';'12670,63';' ';'Risto Kalliorinteen &quot;kansanedustajatakuu&quot; julkistettiin syksyllä 2010, Vaalikampanjaa tukevat yksityishenkilöt saavat halutessaan tukirahansa takaisin vaalien jälkeen, jos ehdokas pääsee eduskuntaan, 8,6,2011 mennessä on maksettu takaisin 2130,14 euroa yksityishenkilöiden antamia vaalitukia, Yksityishenkilöiden taloudellisten tukien takaisinmaksuun varautumisen vuoksi vaalikampanjan kokonaisrahoitus on n, 2500 euroa vaalikampanjan kuluja suurempi, Tukijoina yhteensä 30 eri yksityishenkilöä, tukisummat  2 euroa - 5000 euroa, alle pakollisen ilmoitusrajan jääviä esim, Mikko Raudaskoski Oulu 1000 euroa, Tapani Sillanpää Oulu 500 euroa ja Markku Kalliorinne Ii 500 euroa, ';'3499';'X';'Osuuskunta Tradeka yhtymän tuki 1000 euroa, ';'0';' ';'';'2075';' ';'';'8400';'X';'AY-liikkeen tukea eri ammattiyhdistyksiltä/paikallisosastoilta yhteensä 2900 euroa            Muilta yhdistyksiltä tukea yhteensä 5500 euroa';'0';''
'0066';'Martti Allan                  ';'Korhonen                     ';'kansanedustaja                                              ';'Oulun vaalipiiri                ';'VAS ';'';'28440,11';'22436,30';'1000';'0';'458,40';'0';'0';'1930,40';'251,15';'903,86';'0';'1460';'28440,11';'3270,11';'0';'370';'X';'';'700';'X';'';'0';'X';'';'4000';'X';'';'20100';'X';'';'0';''
'0033';'Erkki Alvar                   ';'Virtanen                     ';'kansanedustaja, yhteiskuntatieteiden kandidaatti            ';'Pohjois-Savon vaalipiiri        ';'VAS ';'';'18637,08';'17293,19';'';'';'';'';'';'1254,60';'';'';'';'89,29';'18637,08';'10087,08';'';'50,00';'X';'';'600,00';'X';'';'3300,00';'X';'Puolueen tuki on kokonaisuudessaan välitettyä tukea puolueen kaikille ehdokkaille yhteiseltä tukikeräystililtä, Yksikään erä ei ylitä 1000 euroa,';'4000,00';' ';'';'600,00';'X';'';'3300,00';''
'0052';'Aino Anneli                   ';'Kanniainen                   ';'sairaanhoitaja, psykoterapeutti                             ';'Pohjois-Savon vaalipiiri        ';'KESK';'';'26599';'13284';'2460';'0';'80';'0';'2399';'6646';'307';'1313';'110';'0';'26599';'12051';'0';'8468';'X';'';'1930';'X';'';'0';'X';'';'4150';' ';'';'0';'X';'';'0';''
'0095';'Jukka Martti                  ';'Kotimäki                     ';'lakimies, yrittäjä                                          ';'Pohjois-Savon vaalipiiri        ';'PS  ';'';'19446,39';'7066,65';'2460,00';'';'';'1171,00';'5605,59';'716,05';'344,40';'1191,10';'';'891,60';'19446,39';'12946,39';'';'';' ';'';'6000';' ';'';'';' ';'';'500,00';'X';'';'';' ';'';'';''
'0044';'Neeta Johanna                 ';'Röppänen                     ';'logistiikkapäällikkö, työsuojeluvaltuutettu                 ';'Pohjois-Savon vaalipiiri        ';'SDP ';'';'31130,1';'5750';'745';'11299,99';'300';'';'';'3596,84';'1777,35';'640';'387,45';'6633,47';'31130,1';'6335,57';'';'6994,53';'X';'';'5235';'X';'';'';' ';'';'6000';' ';'';'6565';' ';'';'';'Tukiyhdistykseni oli nimeltään Uudistuva Pohjois-Savo ry.'
'0043';'Kari Juhani                   ';'Rajamäki                     ';'kansanedustaja, hallintotieteiden maisteri (HTM)';'Pohjois-Savon vaalipiiri        ';'SDP ';'Kehittyvä Savo ry';'32373,83';'19462,77';'';'';'';'';'';'3367,76';'';'3666,89';'';'5876,41';'32373,83';'18978,83';'';'';' ';'';'13395';' ';'';'';' ';'';'';' ';'';'';' ';'';'';''
'0078';'Sari Johanna                  ';'Raassina                     ';'erikoislääkäri                                              ';'Pohjois-Savon vaalipiiri        ';'KOK ';'';'33927,27';'20216,21';'';'';'1960,01';'1397';'2362';'5343';'188,93';'249,72';'';'2210,4';'33927,27';'31702,27';'';'1225';'X';'';'';'X';'';'';'X';'';'1000';'X';'';'';'X';'';'';''
'0098';'Pentti Juhani                 ';'Oinonen                      ';'kansanedustaja                                              ';'Pohjois-Savon vaalipiiri        ';'PS  ';'';'22977,85';'17026,41';'0,00';'0,00';'0,00';'0,00';'0,00';'3344,82';'0,00';'2308,17';'298,45';'0,00';'23076,19';'21221,19';'0,00';'635,00';'X';'';'1220,00';'X';'';'0,00';'X';'';'0,00';'X';'';'0,00';'X';'';'0,00';''
'0047';'Tuula Anneli                  ';'Väätäinen                    ';'kansanedustaja, sairaanhoitaja                              ';'Pohjois-Savon vaalipiiri        ';'SDP ';'';'16740,80';'8458,25';'';'';'460';'';'';'3434,20';'1571,02';'225,30';'';'2592,03';'16740,80';'11493,38';'';'2121';'X';'';'';' ';'';'';' ';'';'400';' ';'';'2726,42';' ';'';'';'Tradeka tuki 1000 euroa  jaTuula Väätäisen tukiyhdistys Edustajamme eduskunnassa ry 1726,42 euroa kertyy useista pienistä summista'
'0053';'Elsi Kaarina                  ';'Katainen                     ';'kansanedustaja                                              ';'Pohjois-Savon vaalipiiri        ';'KESK';'Elsi Kataisen tukiryhmä';'35986,12';'14438';'';'7865,86';'1010';'';'3629';'3874,69';'3210,22';'828,55';'';'1129,80';'36590';'1050';'20000';'1540';'X';'';'6310';'X';'';'';'X';'';'7000';' ';'';'690';'X';'';'';'Tukea on saatu kahdeksalta eri yritykseltä tai yhdistykseltä, kaikki alle 1500 euroa. Rahoitusta on tullut myös palvelunumeron kautta.'
'0054';'Seppo Arimo                   ';'Kääriäinen                   ';'kansanedustaja            ';'Pohjois-Savon vaalipiiri        ';'KESK';'Savo on kotimme ry';'37747,08';'15267,93';'2471,31';'';'';'';'';'2199';'';'11511,37';'328';'5969,47';'37960,83';'19250';'';'4703,88';'X';'';'9576,50';'X';'';'';' ';'';'2830,45';' ';'';'1600';'X';'';'175';'Kampanjan muut kulut sisältävät Keskustan Pohjois-Savon piirille maksetun ehdokasrahan (1000 €) sekä Suomen Keskusta rp:lle maksetun vapaaehtoisen vaalituen (2000 €). Lisäksi muihin kuluihin sisältyy kampanjan posti- ja matkakuluja sekä joitakin pienempiä kulueriä.'
'0062';'Markku Kalevi                 ';'Rossi                        ';'kansanedustaja                                              ';'Pohjois-Savon vaalipiiri        ';'KESK';'Itä-Suomen Ety ry';'24962,05';'17909,35';'1845,00';'';'500,00';'2324,70';'';'1360,00';'';'1000,00';'';'23,00';'24962,05';'13862,05';'';'1770,00';'X';'';'7180,00';'X';'';'900,00';'X';'Seminaarilippujen myyntituloja yhteensä 900,00 € Suomen Keskusta rp:ltä';'1000,00';'X';'';'250,00';'X';'MTK:n tuki 250,00 €';'';''
'0067';'Markku Yrjö                   ';'Eestilä                      ';'eläinlääketieteen lisensiaatti, eläinlääkäri';'Pohjois-Savon vaalipiiri        ';'KOK ';'';'46981,36';'25695,57';'';'10945,13';'1087,63';'1365,00';'';'6541,89';'';'1096,14';'';'250';'46981,36';'36841,36';'';'750';'X';'';'4390';'X';'';'';' ';'';'5000';' ';'';'';' ';'';'';''
'0094';'Kimmo Kyösti Väinämö          ';'Kivelä                       ';'rovasti, teologian maisteri                                 ';'Pohjois-Savon vaalipiiri        ';'PS  ';'KK parlamenttiin';'13395,06';'9724,18';'';'';'400';'';'';'1700';'';'570,88';'';'1000';'13395,06';'4805,06';'8000';'590';'X';'';'';'X';'';'';'X';'';'';'X';'';'';'X';'';'';''
'0029';'Veli Matti                    ';'Semi                         ';'rakennusmies, luottamusmies                                 ';'Pohjois-Savon vaalipiiri        ';'VAS ';'';'13900';'8200';'1500';'';'300';'800';'300';'1400';'';'600';'';'800';'13900';'3000';'';'600';'X';'';'';'X';'';'1500';' ';'';'2000';' ';'';'6800';' ';'';'';''
'0136';'Annika Anita                  ';'Lapintie                     ';'kansanedustaja, varatuomari                                 ';'Varsinais-Suomen vaalipiiri     ';'VAS ';'';'17020';'12260';'';'';'60';'';'1100';'1940';'1160';'220';'';'280';'17020';'';'8000';'1570';'X';'Summa muodostuu tuesta 8 eri yksityishenkilöltä';'1000';'X';'Tuki on Tradeka Yhtymältä';'';' ';'';'2150';'X';'Summa muodostuu tuesta 3 eri puolueyhdistykseltä';'4300';'X';'Summa muodostuu tuesta 6 eri yhdistykseltä ja ammattiosastolta';'';''
'0094';'Ritva Tuulikki                ';'Elomaa                       ';'taiteilija                                ';'Varsinais-Suomen vaalipiiri     ';'PS  ';'';'7043';'2987';'';'';'';'';'475';'3302';'9';'';'';'270';'7143';'';'4643';'2500';'X';'';'';' ';'';'';' ';'';'';' ';'';'';' ';'';'';''
'0026';'Timo Reino Juhani             ';'Kaunisto                     ';'kansanedustaja, agronomi                                    ';'Varsinais-Suomen vaalipiiri     ';'KESK';'';'31272,15';'21004,99';'';'';'';'';'';'3825,27';'2113,14';'3548,45';'780,30';'';'31272,15';'12352,15';'11000';'180,00';'X';'';'1750,00';'X';'';'';'X';'';'1000,00';'X';'';'4990,00';'X';'Sisältää kahden eri seminaarin tuottoja 3300 euroa eri yrityksiltä ja MTK ry:ltä 1000 euroa sekä MTK-Laitila ja MTK-Alastaro yhteensä 690 euroa,';'';''
'0102';'Maria Tuulia                  ';'Lohela                       ';'projektipäällikkö, HuK                                      ';'Varsinais-Suomen vaalipiiri     ';'PS  ';'Maria Lohelan tukiyhdistys';'6825,44';'4490,95';'';'';'255,22';'';'86,1';'1134,06';'659,58';'';'';'199,53';'6825,44';'470';'';'5805,44';'X';'';'';'X';'';'';'X';'';'300';'X';'';'250';'X';'';'';''
'0157';'Heli Tuulikki                 ';'Paasio                       ';'kansanedustaja, filosofian maisteri                         ';'Varsinais-Suomen vaalipiiri     ';'SDP ';'';'13189,77';'5667,42';'';'';'';'';'560,00';'4858,02';'797,04';'607,29';'';'700,00';'13189,77';'3659,24';'';'1920,00';'X';'';'';'X';'';'';'X';'';'4822,63';' ';'';'2787,90';'X';'';'';''
'0144';'Jyrki Valto                   ';'Yrttiaho                     ';'kansanedustaja, ay-toimitsija                               ';'Varsinais-Suomen vaalipiiri     ';'VAS ';'';'22214';'9307';'0,0';'0,0';'0,0';'3790';'1777';'2480';'0,0';'4860';'0,0';'0,0';'22214';'200';'13000';'900';'X';'';'2400';'X';'';'0,00';' ';'';'0,00';' ';'';'5714';'X';'';'0,00';''
'0161';'Katja Alli Maarit             ';'Taimela                      ';'kansanedustaja, ruokapalveluvastaava                        ';'Varsinais-Suomen vaalipiiri     ';'SDP ';'';'24576,99';'8992,93';'';'';'';'';'2546,45';'9016,83';'583,80';'2453,25';'';'983,73';'24576,99';'9653,07';'';'2275,00';'X';'';'3160,00';'X';'';'';' ';'';'3958,92';' ';'';'5530,00';' ';'';'';''
'0177';'Pertti Aatos                  ';'Hemmilä                      ';'kansanedustaja, poliisi                                     ';'Varsinais-Suomen vaalipiiri     ';'KOK ';'';'56930,54';'21140,86';'';'8070,34';'450,00';'';'14643,62';'11256,95';'1052,27';'316,50';'';'';'56930,54';'42170,54';'';'14760,00';'X';'';'';' ';'';'';' ';'';'';' ';'';'';' ';'';'';''
'0034';'Annika Virpi Irene            ';'Saarikko                     ';'pääministerin erityisavustaja, kasvatustieteen kandidaatti  ';'Varsinais-Suomen vaalipiiri     ';'KESK';'';'56592,86';'19148,04';'0';'7743,94';'0';'2244,71';'2356,17';'5635,79';'4643,19';'6402,80';'4765,50';'3652,72';'57436,26';'2500,00';'0';'26008,26';' ';'Yksityishenkilöiltä saadusta rahoituksesta 9660€ on vastikkeellisesta kampanjahillojen myynnistä, 231,90€ arpajaistuotoista, Suorana rahallisena tukena on saatu 11845€ yhteensä 38 yksityishenkilöltä, Loput yksityishenkilöiltä saadusta rahoituksesta on lehti- ja autotarramainoksina neljältä henkilöiltä, joista merkittävin on Jarmo Laivorannan osuus (ylittää ilmoitusrajan),';'20838,00';' ';'Yrityksiltä saatu rahoitus 20838,00 jakaantuu 41 yrityksen kesken, Summa sisältää ilmoitusrajan ylittävän Maskun Kalustetalo oy:n osuuden,';'0';'X';'';'2150';'X';'Puolueyhdistyksistä saaduista tuista suurimmat ovat Suomen Keskustanuoret ry:n 1400€ ja Keskustan Opiskelijaliitolta saadut karkkirasiat, joiden arvo on n, 500€ ';'5940,00';'X';'Muilta tahoilta saadusta tuesta rahallista tukea on 5940€ ja se koostuu yhteensä 9 yhdistykseltä,';'2400,00';''
'0155';'Mika Petri Juhani             ';'Maaskola                     ';'mittarikorjaaja, pääluottamusmies                           ';'Varsinais-Suomen vaalipiiri     ';'SDP ';'Mika-tiimi';'26475,31';'9413,67';'';'';'557,69';'';'3240,87';'10734,22';'';'975,88';'';'1552,98';'26475,31';'';'3659,15';'7094,75';'X';'';'8581,33';' ';'Diggiprint Ab, Ruotsin tunnus: SE 556835786601';'';' ';'';'888,90';'X';'';'6251,18';'X';'';'';''
'0148';'Eeva-Johanna                  ';'Eloranta                     ';'FM, VTM                                                     ';'Varsinais-Suomen vaalipiiri     ';'SDP ';'';'32268';'11615,68';'';'';'';'476,70';'9970,98';'6459,15';'';'1110,35';'';'2635,14';'32268';'3664,96';'';'';' ';'';'';' ';'';'';' ';'';'26255,18';' ';'Turun Kunnantyöntekijäin Sos,dem,yhdistys ry:n antamasta tuesta 25959,75 oli välitettyä tukea lukuisilta eri tahoilta, Tähän sisältyi puolueyhdistys Turun Työväenyhdistys ry:ltä välitetty tuki 6500 euroa,';'2347,86';'X';'';'25959,75';'Maskun Kalustetalo Oy:n antama tuki ehdokkaan kampanjaan koostui sen Turun Kunnantyöntekijäin Sos.dem.yhdistys ry:ltä ostamasta neljästä 300 euron juhlaseminaarilipusta sekä 2200 euroa maksaneesta lehtimainoksesta (240 mm x 365 mm) Turun Kunnantyöntekijäin Sos.dem.yhdistys ry:n julkaisemassa Helmi-lehdessä. Turun Kunnantyöntekijäin Sos.dem. ry:ltä saatu tuki 25959,75 euroa oli välitettyä tukea. Välitetty tuki koostui seuraavasti: Yrityksiltä 16725 e, yksityisiltä lahjoittajilta 1420 e, muilta tahoilta 1314,75 e ja Turun Työväenyhdistykseltä 6500 euroa.'
'0097';'Lauri Juho Antti              ';'Heikkilä                     ';'filosofian tohtori, erikoistutkija                          ';'Varsinais-Suomen vaalipiiri     ';'PS  ';'Marttilan Perussuomalaiset ry/Lauri Heikkilä';'15930,88';'8274,43';'0';'0';'904,07';'0';'2097,02';'1228,66';'0';'240';'0';'3186,70';'15930,88';'14334,32';'0';'667,77';'X';'';'0';' ';'';'';' ';'';'928,79';'X';'Tukea ovat antaneet Liedon Perussuomalaiset ry ja Marttilan Perussuomalaiset ry';'';' ';'';'';''
'0184';'Antti Petteri                 ';'Orpo                         ';'kansanedustaja, VTM                              ';'Varsinais-Suomen vaalipiiri     ';'KOK ';'Uudistajat ry';'60670';'20302,66';'';'19308,60';'1758,71';'';'5328,95';'8191,80';'2337';'1897,05';'1206';'339,23';'60670';'3000';'';'14530';'X';'';'43140';' ';'';'';'X';'';'';'X';'';'';'X';'';'';''
'0180';'Ilkka Armas Mikael            ';'Kanerva                      ';'kansanedustaja, VTM                                         ';'Varsinais-Suomen vaalipiiri     ';'KOK ';'Varsinais-Suomen Linjanvetäjät ry';'71473';'11550';'';'';'';'';'6545';'26732';'7396';'7041';'1050';'11159';'71473';'3441';'';'24590';' ';'Tuki sisältää Ilkka Kanervan tukiyhdistyksen Varsinais-Suomen linjanvetäjät ry:n omatoimisen varainhankinnan (jäsen- ja tukimaksut, matkat, tilaisuudet jne,),';'43442';' ';'Vastikkeellinen tuki sisältää kahden seminaarin osallistumismaksuja 20*350 € ja 62*250 € = 22 500 €';'';' ';'';'';' ';'';'';' ';'';'';''
'0190';'Anne-Mari                     ';'Virolainen                   ';'kansanedustaja, KTM                                         ';'Varsinais-Suomen vaalipiiri     ';'KOK ';'Varsinais-Suomen Toivot ry';'45987,85';'10758,56';'';'10123,40';'1450';'';'13838,98';'3512,34';'1845';'2937,47';'1290';'232,10';'46094,05';'';'';'14179';' ';'8 yksityishenkilöä';'25749';' ';'18 yritystä';'';' ';'';'6166,05';' ';'';'';' ';'';'';''
'0027';'Esko Emil                     ';'Kiviranta                    ';'kansanedustaja, maanviljelijä                ';'Varsinais-Suomen vaalipiiri     ';'KESK';'Yrittäjän Parhaaksi ry';'59952,60';'24422,97';'';'12227,93';'1599';'';'3937,33';'12661,62';'2056,50';'647,25';'';'2400';'59952,60';'42962,60';'';'7250';' ';'';'6240';'X';'';'';' ';'';'';' ';'';'3500';' ';'';'';''
'0188';'Saara-Sofia Maria             ';'Sutela                       ';'KTM                                     ';'Varsinais-Suomen vaalipiiri     ';'KOK ';'Sopivan vihreä ry.';'36628,12';'11286,16';'';'5709,96';'3420,41';'150';'5007,94';'6855,24';'';'517,26';'2460';'1221,15';'46764,62';'9820';'';'15236,90';' ';'';'11707,72';'X';'';'';'X';'';'10000,00';' ';'';'';'X';'';'';'Yksityisistä lahjoituksista pienin 15€ ja suurin 1499€. Yrityksiltä pienin lahjoitus oli 500€ ja suurin 1499€.                   Lahjoituksissa huomioitu palveluna saatu mainonnansuunnittelu seuraavasti:            yksityishenkilöiltä saatu tuki: 1200€            yrityksiltä saatu tuki: 1400€.'
'0152';'Ilkka Tapani                  ';'Kantola                      ';'kansanedustaja, teologian tohtori                           ';'Varsinais-Suomen vaalipiiri     ';'SDP ';'';'22137,90';'9061,22';'1512,60';'';'';'';'1150,00';'2649,38';'254,18';'5708,52';'';'1802,00';'22137,90';'5953,66';'';'260,00';'X';'Summa muodostuu kuuden yksityishenkilön antamasta tuesta,';'1000,00';'X';'';'';' ';'';'14324,24';' ';'Naantalin työväenyhdistys ry:n rekisterinumero on 493, mutta sähköinen lomake ei tätä muotoa hyväksy,';'600,00';'X';'';'';''
